NAME, RAJ, DECJ
J1740-3015, 17:40:33.82, -30:15:43.5
J1741-0840, 17:41:22.5629, -08:40:31.711
J1742-4616, 17:42:26.10, -46:16:53.5
J1743-1351, 17:43:37.62135224, -13:51:37.96671024
J1743-4212, 17:43:05.223, -42:12:02.4
J1744-1610, 17:44:16.534, -16:10:35.8
J1744-3130, 17:44:05.682, -31:30:04
J1745-0129, 17:45:02.06, -01:29:18.1
J1746+2245, 17:46:00.84, +22:45:28.9
J1748-1300, 17:48:17.40701291, -13:00:52.08526659
J1750-3157, 17:50:47.3182536, -31:57:44.14087891
J1750-3503, 17:50:44.501, -35:03:08.9
J1751-3323, 17:51:32.725, -33:23:39.6
J1754-3510, 17:54:54.616, -35:10:43.0
J1755-2025, 17:55:35.801, -20:25:00
J1757-2421, 17:57:29.32308853, -24:22:07.44569594
J1801-0357, 18:01:22.628, -03:57:55.7
J1801-2920, 18:01:46.839, -29:20:38.1
J1803-3329, 18:03:44.453, -33:29:10.7
J1806+1023, 18:06:52.114, +10:23:18.30
J1806-1154, 18:06:06.79064866, -11:54:28.74623948
J1807+0756, 18:07:51.235, +07:56:43.39
J1807-0847, 18:07:38.0274, -08:47:43.27
J1808-0813, 18:08:09.43164254, -08:13:01.79704259
J1808-3249, 18:08:04.48, -32:49:34
J1809-0119, 18:09:51.36, -01:19:29.0
J1809-1429, 18:09:45.510, -14:29:25.0
J1810-5338, 18:10:44.473, -53:38:07.631
J1811-0154, 18:11:19.88, -01:54:30.9
J1811-4930, 18:11:27.19, -49:30:20.8
J1812+0226, 18:12:53.18672647, +02:26:57.1249934
J1812-1718, 18:12:07.20797698, -17:18:29.47375761
J1812-3039, 18:12:44.902, -30:39:21
J1814-0521, 18:14:26.13, -05:21:37.0
J1816-5643, 18:16:36.464, -56:43:42.10
J1817-3837, 18:17:00.270, -38:37:59.7
J1818-1422, 18:18:23.7660, -14:22:36.71
J1819+1305, 18:19:56.226, +13:05:15.25
J1819-0925, 18:19:50.542, -09:25:49.9
J1820-0427, 18:20:52.5934, -04:27:37.712
J1820-1818, 18:20:39.08708121, -18:18:03.25846394
J1821+1715, 18:21:13.503, +17:15:47.06
J1822+0705, 18:22:18.44074659, +07:05:19.02249946
J1822-4209, 18:22:11.356, -42:09:10.98
J1823+0550, 18:23:30.9731, 05:50:24.31
J1823-0154, 18:23:52.14511085, -01:54:04.57135746
J1823-3106, 18:23:46.78807131, -31:06:49.74975114
J1824-0127, 18:24:53.43, -01:27:51.4
J1825+0004, 18:25:15.32354292, +00:04:19.70250718
J1825-0935, 18:25:30.594, -09:35:21.2
J1826-1131, 18:26:05.47195533, -11:31:43.62489366
J1827-0750, 18:27:02.735, -07:50:19.2
J1830-0131, 18:30:19.612, -01:31:48.1
J1831-0823, 18:31:36.334, -08:23:23.9
J1833-0338, 18:33:41.8945, -03:39:04.258
J1834-0010, 18:34:17.25503049, -00:10:53.27892772
J1834-0031, 18:34:51.093, -00:31:34.3
J1834-0426, 18:34:25.60176938, -04:26:15.83606568
J1834-1202, 18:34:23.12, -12:02:26.4
J1836-0436, 18:36:51.78952804, -04:36:37.67542027
J1837+1221, 18:37:07.12, +12:21:54.0
J1837-0822, 18:37:39.654, -08:22:12.4
J1838+1523, 18:38:46.78, +15:23:25.4
J1838+1650, 18:38:43.062, +16:50:16.05
J1839-0332, 18:39:56.583, -03:32:58.6
J1839-0643, 18:39:09.803, -06:43:45.2
J1839-1238, 18:39:43.708, -12:38:40.7
J1840-0809, 18:40:33.365, -08:09:03.62
J1840-1207, 18:40:53.782, -12:07:32.6
J1841+0912, 18:41:55.95863551, +09:12:07.3565383
J1841-0157, 18:41:56.207, -01:57:54.6
J1841-0345, 18:41:38.68, -03:48:42.6
J1842+0257, 18:42:30.93, +02:57:58.8
J1842+1332, 18:42:29.96, +13:32:01.5
J1842-0153, 18:42:57.870, -01:53:26.7
J1842-0359, 18:42:26.49, -04:00:01.52
J1842-0415, 18:42:11.289, -04:15:38.2
J1843+2024, 18:43:26.18, +20:24:54.6
J1843-0000, 18:43:27.965, -00:00:41.5
J1843-0211, 18:43:30.328, -02:11:02.8
J1843-0459, 18:43:27.643, -04:59:30.4
J1844-0030, 18:44:41.099, -00:30:25.8
J1844-0433, 18:44:33.45148294, -04:33:12.41109121
J1845+0623, 18:45:08.59, +06:23:57.6
J1845-0434, 18:45:34.70892377, -04:34:29.8163785
J1846+0051, 18:46:43.821, +00:51:39.0
J1846-0749, 18:46:19.744, -07:49:21.4
J1846-07492, 18:46:07.999, -07:49:13.2
J1847-0402, 18:47:22.842, -04:02:14.4
J1847-0438, 18:47:37.925, -04:38:15.3
J1848+0604, 18:48:54.622, +06:04:46.8
J1848-0123, 18:48:23.5895, -01:23:58.33
J1848-1150, 18:48:11.81, -11:50:09.2
J1849-0614, 18:49:45.157, -06:14:31.5
J1849-0636, 18:49:06.43482131, -06:37:06.90481906
J1850+0026, 18:50:45.144, +00:26:25.6
